#p2
#QuimP output - /home/baniuk/Documents/Quimp-developing/quimp-user-request/experiment1/Composite-after-macro_1.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 0.1716179592016058 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
72,226.13,225.76,4.74,13.40,0.35,0.32,48.63,1.74,0.612,115.25
73,226.41,226.11,4.80,13.48,0.36,0.08,47.46,1.59,0.631,113.10
74,226.52,228.37,5.19,13.86,0.37,0.39,51.54,1.46,0.541,114.28
75,226.12,228.94,5.29,13.98,0.38,0.12,52.80,1.41,0.528,117.05
76,225.34,230.23,5.51,14.24,0.39,0.26,50.12,1.37,0.603,120.61
77,223.57,229.61,5.43,14.57,0.37,0.32,54.55,1.38,0.558,132.18
78,222.90,229.89,5.50,14.69,0.37,0.12,55.33,1.35,0.558,135.95
79,222.96,230.42,5.58,14.78,0.38,0.09,57.36,1.29,0.532,139.37
80,222.79,230.98,5.68,14.88,0.38,0.10,59.03,1.27,0.516,143.11
81,221.94,230.38,5.60,15.06,0.37,0.18,62.29,1.33,0.481,148.59
82,221.70,231.10,5.73,15.19,0.38,0.13,62.62,1.33,0.486,151.68
83,221.31,232.24,5.94,15.40,0.39,0.21,62.70,1.31,0.497,155.54
84,221.03,233.39,6.14,15.60,0.39,0.20,63.66,1.27,0.493,159.13
85,221.14,234.01,6.24,15.71,0.40,0.11,64.62,1.24,0.481,159.69
86,221.77,235.10,6.41,15.92,0.40,0.22,63.24,1.18,0.501,159.37
87,222.37,235.88,6.53,16.09,0.41,0.17,64.84,1.14,0.484,161.90
88,222.49,237.40,6.78,16.35,0.41,0.26,65.16,1.07,0.497,167.91
89,223.02,239.02,7.05,16.65,0.42,0.29,65.93,1.04,0.492,170.35
90,223.67,239.74,7.16,16.81,0.43,0.17,66.53,1.07,0.499,175.69
91,224.27,240.47,7.28,16.98,0.43,0.16,67.72,1.07,0.490,178.72
92,224.40,240.28,7.25,17.01,0.43,0.04,70.82,1.07,0.462,184.55
93,225.06,240.79,7.33,17.16,0.43,0.14,69.93,1.08,0.486,189.00
